Start Time,End Time,Sentence,Translation,Emotion
"00:00:00,000","00:00:03,080",Dit is mijn beslissing de zakers af gedaan. Dank u wel.,"This is the decision that I made, the baggers, thank you very much.",surprise
"00:00:03,080","00:00:04,080",De wuren?,The wrenches?,neutral
"00:00:04,080","00:00:05,080",Ik pak hier niet goed.,I'm not getting it right here.,fear
"00:00:05,080","00:00:06,080",Nee.,No.,neutral
"00:00:06,080","00:00:08,080",We keren bij het parkervak.,We're turning into the parking lot.,neutral
"00:00:08,080","00:00:15,080",Zijn een levenzoeker blijf uit ons leven blijf van huis 15 inclusief parkerplaats af.,"His life-hunter stays out of our lives, stays out of house 15, including parking lot.",neutral
"00:00:15,080","00:00:18,760","Als je een terwijl omkomt, en ze loopt bij het.","If you're gonna die while she's gone, she's gonna walk at it.",neutral
"00:00:18,760","00:00:20,960",Ik ga het over het middelvingen opsteken.,I'm gonna light it on the middle fingers.,neutral
"00:00:20,960","00:00:23,960","Ja, dat kent het uit het vertellen dat ik het gedaan heb.","Yeah, well, that's what it's got to do with me telling him that I did it.",neutral
"00:00:31,000","00:00:34,000",Als ze van de trappenvalt zou ik het hier erg vinden.,"If she falls off the stairs, I'd mind here.",happiness
"00:00:34,000","00:00:35,000",Nee.,No.,neutral
"00:00:36,000","00:00:39,000","Als ze zit, dan doe ik bij je tijd van de richting.","If she's in position, I'll do it at your time of day.",neutral
"00:00:40,000","00:00:44,000",Wil je even heel snel die woorden terug nemen?,Would you mind taking those words back real quick?,neutral
"00:00:52,000","00:00:54,000",Ik ben onderweg naar Gorkum.,I'm on my way to Gorkum.,neutral
"00:00:54,000","00:00:59,000",Daar woont de 78-jarige Tony in een fijne partement met een eigen pakkeerplaats.,That's where 78-year-old Tony lives in a fine party with his own packing place.,neutral
"00:01:00,000","00:01:04,000","Nou, superdelux, dik voor elkaar, zou je dus denken.","Well, superdelux, thick for each other, you'd think.",surprise
"00:01:04,000","00:01:06,000",Maar niet zes minder waar.,But not six less true.,fear
"00:01:06,000","00:01:11,000",Want sinds een paar jaar erg het Tony zich namelijk groen en gel aan het parkergedrag van haar buren.,Because for a few years Tony has been very upset about the parking behaviour of her neighbors.,happiness
"00:01:11,000","00:01:17,000",Die zetten hun auto's namelijk op een dusdanige manier neer dat Tony geen kant meer op kan.,"After all, they put their cars down in such a way that Tony can't go anywhere.",happiness
"00:01:17,000","00:01:21,000",Het komt op mijn overas als socialparkergerdag.,It's gonna be on my overas for social parker day.,neutral
"00:01:21,000","00:01:27,000",Je hebt je al de reglement stouwen en de standen peeren en het parkervak er meer rechtstijpt niet.,You've got all the rules and the settings peers and the parking lot more right-winging there.,happiness
"00:01:27,000","00:01:32,000","De buring kwestie, olga en hagerzien snapen niet waar de burvrouw zich nu zo druk over maakt.","The Buring issue, orga and harbor sights aren't what the Burwife is so worried about right now.",fear
"00:01:32,000","00:01:35,000",Ze heeft altijd ruimte genoeg om houden te parkeren.,She's always got plenty of room to park.,surprise
"00:01:35,000","00:01:37,000","Nee, er is een ander probleem.","No, there's another problem.",fear
"00:01:37,000","00:01:39,000",En dat ligt bij Tony zelf.,And it's on Tony himself.,neutral
"00:01:39,000","00:01:41,000",Ze is namelijk een noodwaare zurkaus.,'Cause she's a firecracker.,fear
"00:01:42,000","00:01:44,000",Ze moet gewoon ophouden met dat eeuwige gezeur.,She just needs to stop whining forever.,happiness
"00:01:44,000","00:01:48,000",We staan echt helemaal niemand in de weg en het is gewoon een zurkaus.,"We're really not in anybody's way, and it's just a zurkau.",happiness
